==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=60, num_instances=4, optim='adam', print_freq=10, resume='', root='E:\\files\\programming\\dataset\\reid', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=60, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [1][10/93]	Time 0.121 (1.155)	Data 0.040 (0.642)	Loss 9.0795 (9.7831)	
Epoch: [1][20/93]	Time 0.110 (0.637)	Data 0.037 (0.342)	Loss 9.2922 (9.8757)	
Epoch: [1][30/93]	Time 0.116 (0.463)	Data 0.039 (0.240)	Loss 9.8164 (10.0193)	
Epoch: [1][40/93]	Time 0.124 (0.377)	Data 0.039 (0.189)	Loss 9.2299 (9.9723)	
Epoch: [1][50/93]	Time 0.111 (0.324)	Data 0.037 (0.159)	Loss 9.2157 (9.9007)	
Epoch: [1][60/93]	Time 0.111 (0.289)	Data 0.037 (0.139)	Loss 8.2755 (9.6847)	
Epoch: [1][70/93]	Time 0.110 (0.264)	Data 0.036 (0.124)	Loss 8.3609 (9.4683)	
Epoch: [1][80/93]	Time 0.114 (0.245)	Data 0.039 (0.113)	Loss 7.9927 (9.2840)	
Epoch: [1][90/93]	Time 0.110 (0.230)	Data 0.038 (0.105)	Loss 8.7682 (9.1465)	
Epoch: [2][10/93]	Time 0.112 (0.710)	Data 0.037 (0.616)	Loss 7.0691 (7.1042)	
Epoch: [2][20/93]	Time 0.111 (0.411)	Data 0.037 (0.327)	Loss 7.0495 (7.0872)	
Epoch: [2][30/93]	Time 0.110 (0.311)	Data 0.036 (0.230)	Loss 7.0990 (7.0699)	
Epoch: [2][40/93]	Time 0.111 (0.261)	Data 0.037 (0.182)	Loss 6.9160 (7.0390)	
Epoch: [2][50/93]	Time 0.110 (0.231)	Data 0.037 (0.153)	Loss 6.9349 (7.0346)	
Epoch: [2][60/93]	Time 0.111 (0.211)	Data 0.038 (0.134)	Loss 7.0228 (7.0367)	
Epoch: [2][70/93]	Time 0.113 (0.197)	Data 0.039 (0.120)	Loss 6.8421 (7.0328)	
Epoch: [2][80/93]	Time 0.111 (0.186)	Data 0.038 (0.110)	Loss 7.0488 (7.0291)	
Epoch: [2][90/93]	Time 0.112 (0.178)	Data 0.037 (0.102)	Loss 7.0751 (7.0306)	
Epoch: [3][10/93]	Time 0.111 (0.710)	Data 0.037 (0.616)	Loss 6.9040 (6.9148)	
Epoch: [3][20/93]	Time 0.111 (0.410)	Data 0.037 (0.327)	Loss 6.8636 (6.8995)	
Epoch: [3][30/93]	Time 0.111 (0.310)	Data 0.037 (0.230)	Loss 6.9188 (6.8871)	
